individual_id,route,signal_idx,snr,ref1_correlation,ref1_euclidean_dist,ref1_dtw_dist,ref2_correlation,ref2_euclidean_dist,ref2_dtw_dist,ref3_correlation,ref3_euclidean_dist,ref3_dtw_dist,ref4_correlation,ref4_euclidean_dist,ref4_dtw_dist,ref5_correlation,ref5_euclidean_dist,ref5_dtw_dist,spectral_max,spectral_mean,spectral_std,spectral_skewness,spectral_kurtosis,spectral_crest,bandwidth_90percent,bandwidth_ratio,odd_even_ratio,wavelet_approx_mean,wavelet_approx_std,wavelet_approx_max,wavelet_approx_energy,wavelet_detail_1_mean,wavelet_detail_1_std,wavelet_detail_1_max,wavelet_detail_1_energy,wavelet_detail_2_mean,wavelet_detail_2_std,wavelet_detail_2_max,wavelet_detail_2_energy,wavelet_detail_3_mean,wavelet_detail_3_std,wavelet_detail_3_max,wavelet_detail_3_energy,wavelet_detail_4_mean,wavelet_detail_4_std,wavelet_detail_4_max,wavelet_detail_4_energy,wavelet_detail_5_mean,wavelet_detail_5_std,wavelet_detail_5_max,wavelet_detail_5_energy,wavelet_entropy,envelope_mean,envelope_std,envelope_max,envelope_min,envelope_dynamic_range,envelope_variation_mean,envelope_variation_std,envelope_variation_max,phase_std,phase_mean_abs_diff,freq_mean,freq_std,freq_max,freq_min,freq_range,mean_freq_offset,modulation_index,envelope_spectral_peak,envelope_spectral_mean,freq_spectral_peak,freq_spectral_mean
aircraft_101,I,102,13.72436695133503,0.01599780323757074,0.025102770718992317,4.217238997331208,-0.07050835309611972,0.018296856696669268,4.490014479908431,-0.015844446989784555,0.02385435245501093,3.9569187018610674,0.023153522066979078,0.020817713018135384,3.9743475496953145,0.08007423153540628,0.019753906775500325,4.025313376993988,24.990722197458567,1.6056647705037448,5.794408460346136,2.9097755394489546,10.804692659166205,15.564096974998233,28645.83333333333,0.05729166666666666,0.31817218242482204,0.14989088577436818,0.19862876171516394,0.6624826014101829,1.8576198785617222,0.002963494138290125,0.023010720686797242,0.12384741475028015,0.016148266921004358,0.12172074957126645,1.501940975007997,3.240618479302192,122.61470219734481,0.0018688654880051538,0.7032015227280884,1.4372132621913234,50.43857917098208,-0.000518550775802953,0.06377223017256071,0.13119745359092755,0.8012317485095621,-1.8317143279264333e-06,0.003741536748686551,0.008325206719277018,0.00541765193101938,0.9856961687106773,0.6107347767853812,0.2826338483802591,1.0123224761128786,0.0043969763810451515,1.0079254997318334,0.00516778724451573,0.006484056318243431,0.057751082639109996,76.16843190919919,0.3455069580352906,54758.88991872332,10169.001959664092,230499.8595689161,-37012.755347560356,267512.6149164764,-195241.11008127668,0.4627767389764669,469.0443085711728,2.204270526549502,42054827.45757951,338050.1598785057
aircraft_101,I,103,18.533694551005855,-0.06586510917931364,0.025387051410305613,4.060388951068527,0.02194703718218191,0.017592556460909087,4.412099012409334,0.035332112874392335,0.02310658247975982,4.257153873901812,0.023813390164070337,0.020549256617045864,3.7518926640343806,-0.0013670165455439466,0.020073394539197296,3.81270070814838,23.30340308563328,1.680432281118571,5.548568526885129,2.6151193907650887,9.844624916673151,13.867505014912885,128906.24999999999,0.25781249999999994,0.3709943157081142,0.0961646692021695,0.1541929596504539,0.5101743717882872,0.9906933722558754,0.009859541632153876,0.03193033925062044,0.1581879023663295,0.03350271377567664,6.896043519714836e-06,1.4984470779919663,3.4447416807295936,121.2485568618717,-0.005793037600056071,0.6559564655490708,1.4359316976860967,43.89186928598702,0.0005857424730648539,0.0576133138825761,0.14744281540019918,0.6539684950630669,-4.276427164295032e-07,0.0032737267193490424,0.007972408020970257,0.004147589997737099,0.919510159787977,0.5731833521695355,0.3197593407581144,1.0113055251712424,0.0007717043573441303,1.0105338208138983,0.0033388969387608118,0.009171569918600098,0.15287260696479213,73.62536408178902,0.3682383990202717,48637.93451088148,50534.40999931758,405686.5234785395,-427115.8369102092,832802.3603887487,-201362.0654891185,0.5578657153034974,440.2048144662033,2.22596946126585,37353933.70435698,1242372.5715898417
aircraft_101,I,104,19.235447748881228,0.04057914761305886,0.02204507226560831,3.631727487244045,0.038489796652647436,0.013961909443225486,3.2864264210014027,0.012089062384784289,0.02082769464212669,3.5786530077253134,0.05479985993212407,0.017441741357870678,2.9834417501212727,-0.11073649797116707,0.01773595734156107,3.0524048264267343,20.076784972774313,1.2436358119533386,4.835878743313045,2.5776944211342685,9.831278987957301,16.143620809085863,27343.75,0.0546875,0.2630976379094875,0.14678531092140973,0.31157915527526053,0.9872489085911393,3.558824925130195,0.009250849044040632,0.05144346916626861,0.2695979600823985,0.08196026183689371,-0.005026617165050918,1.1786206032742665,3.484229490838272,75.01527684050689,-7.219681148051622e-05,0.46750207109388875,1.3148446532723759,22.292935552324412,-0.0002781402221822292,0.03894993344090576,0.11135550637368433,0.2988834113757344,-1.8372576812136387e-06,0.0022204441527190187,0.006460696951187469,0.001908055361402769,1.004462646839963,0.4170190348805583,0.28424951099530904,1.005355359193859,0.0017046065121745365,1.0036507526816845,0.004100888080375739,0.006043626633650337,0.06786996585341858,70.74489515541573,0.3172252633393658,49320.19687870279,18128.561030811536,184139.45043153633,-319355.57534304674,503495.0257745831,-200679.8031212972,0.6816223894353484,320.2706187882688,1.766986737111758,37877911.20284374,536182.8242429281
aircraft_101,I,105,19.904624936687792,-0.0505883762264482,0.02442450138363275,3.9381235949600724,-0.010480409999627585,0.016878904707911827,4.100775821091544,-0.009188917626965469,0.022994110449707183,4.149829655105642,-0.032035945147913136,0.020313008946811314,3.670015291669901,-0.061924593919624626,0.019812883563687367,3.7174931943098963,26.66797930307135,2.029906685919809,6.281077671126064,2.7674385443197296,10.07637760733297,13.137539517481477,93750.0,0.1875,0.34991515960740227,0.3096172939231819,0.7363087870486976,2.2601261797105687,19.14040495744315,0.010301298878107715,0.10018284432923752,0.5266878270995105,0.3042815716941702,-0.022584980584086846,1.4273345401675241,3.2410516299478833,110.04087442877395,0.009268654447281996,0.5956521852138019,1.4227086373984195,36.19851823793453,-0.001919251916467758,0.063344013523019,0.41747352927674575,0.7911810726932857,-4.897624282244759e-06,0.003302718419326012,0.028292192101903202,0.0042213855293585425,1.285933473182273,0.531114877973264,0.3165120284400221,1.0108543055292982,0.006675555648582103,1.0041787498807162,0.00445666910869267,0.010549167579841512,0.21978109554490532,71.74810862721068,0.3083150323976141,48260.58814660609,15735.279132585067,145614.3483960083,-52433.57510956733,198047.92350557563,-201739.41185339392,0.5959389231343565,407.8962262834668,2.4971912668168224,37064131.69659348,343045.97171088314
aircraft_101,I,106,13.927729109068778,0.057860205531681724,0.02120007203820562,4.263972194120888,-0.03557095677473928,0.009944092885187437,2.2351593688554035,0.06924334861047007,0.01737500015628041,3.777179966502455,-0.02682089118275331,0.01426844261903142,2.551586145147092,0.04922204884547421,0.013018852885358869,2.5869394160605403,22.824798821577097,2.0218178163032032,4.828496176483478,2.828113100314893,9.7217220039475,11.289246062393072,161458.33333333334,0.3229166666666667,0.0,-0.33212233734535074,1.3756772317763177,3.9762493944586086,60.08379278974474,-0.023841571607553586,0.18192816665470563,0.9769340241748661,1.0099883507718133,0.0414909679287304,0.7761370123728134,3.2070239623064443,32.62194876931163,-0.013126508865786883,0.32395865149329667,1.390758481109925,10.722394337460601,0.0030371880820191603,0.06680038962310673,0.6549289675903066,0.8808887633531518,8.067488213991072e-06,0.003036479437814557,0.04551958742134041,0.0035682454422664,1.4437591028824976,0.25735294486010135,0.22880575909274853,1.0835261673421406,0.0009429836318517303,1.0825831837102888,0.011899806427398857,0.01771411365938247,0.30401895039591764,68.49053521130226,0.29351582992268405,44280.4235244476,28153.056018080722,129617.96430093996,-441058.46309568477,570676.4273966247,-205719.5764755524,0.889073794034604,197.64706165255785,2.1738298011024297,34007365.26677576,680533.895241477
aircraft_101,I,107,11.419570626159427,0.015226877861695182,0.023870653480265864,4.265616137400397,-0.03216356036395518,0.010401193117060803,2.305168688333671,0.009729926221180806,0.01729160596198246,2.9361416659130555,-0.03634300910938737,0.013822627222901113,2.1068823346995047,-0.17463254716920262,0.01410283406735137,2.0697787427557004,29.835726069395182,2.5864805189730906,5.642315957093375,2.7187697694704465,9.259921414942887,11.535260308568205,184895.8333333333,0.36979166666666663,0.0,0.038624498698220995,1.5171187115682236,3.943695860109481,69.09423110670349,-0.02351288844029884,0.1921116570958023,1.0104379931441039,1.1237923414470323,0.5803643679565089,0.5973636107813808,1.887259578754923,37.457968486283676,-0.014658856674364654,0.3784214398352192,1.486029141267472,14.628602157007922,0.003939647263698424,0.09186016621023267,0.8245308135706629,1.6654007584765862,1.4344565542181221e-05,0.004613077638452417,0.05972088681413445,0.008235627442135776,1.501525309207371,0.3472201414166154,0.1866375321063636,1.089642604864562,0.017933126795756277,1.0717094780688057,0.0342332858790162,0.04043177055243927,0.34677301810906636,81.80898649544706,0.3760898667502632,57344.4772423486,37887.32114307099,281067.70809018274,-483224.9102841701,764292.6183743528,-192655.5227576514,0.537519313669148,266.6650686079606,2.5677143443560344,44040558.52212372,929640.5246084322
aircraft_101,I,108,20.030657488510872,0.023381976213970573,0.02339919754949285,3.7521513576934082,-0.011511449040293078,0.01562848102160463,3.8439270232625486,-0.017213003638497565,0.02204247708251364,4.048611092243966,0.0031125159874391805,0.018901196533689376,3.4207464126034126,-0.09199855303133533,0.018843833141819283,3.5617466187690945,27.216955656508393,2.427116577548643,6.313735467859574,2.8354754980851444,10.162239562245833,11.213699378213294,187500.0,0.375,0.3772903632610387,0.39265952841191193,0.7294283226888687,2.2991083894150846,20.58741549580084,0.004230862856615936,0.09804760313906102,0.4689390929183911,0.288936980454789,-0.02828281324869399,1.3275631941478516,3.244815925971564,95.21409340699056,0.015478107703462765,0.5534378785372523,1.6346807248299104,31.266371836225236,-0.0027553609340027585,0.07318138199575092,0.6106549204373847,1.0565320168828747,-4.550946945313644e-06,0.003498839831149026,0.03991038533812717,0.0047376156386842285,1.3483042317883283,0.4805691535666357,0.30991657590428934,1.049324460442815,0.001734333908717221,1.0475901265340977,0.005602459052526369,0.01664827018888348,0.29311043797797687,72.11402864843915,0.3154000483799738,49572.31164536462,29028.829035594885,454962.5143391156,-60014.33736680626,514976.8517059219,-200427.68835463538,0.6448948576998426,369.07710993917624,2.8237506869030837,38071535.34364003,774541.054297158
aircraft_101,I,109,20.19433337679321,0.175321669913818,0.023561897144895375,3.907303736623909,-0.025662262140758674,0.018332636707734818,4.569061143032932,0.03359639659000649,0.023582639691154775,4.380904820150902,0.019084041060773917,0.0211015371839325,4.103647910489882,-0.007066771169075491,0.020637368244424817,4.051153239486917,30.090350344118406,2.4003174149619624,7.045621642505467,2.797928317228743,10.145895388871043,12.535988014149888,102864.58333333334,0.20572916666666669,0.23835586825163688,-0.7694558015669615,1.6606366333444658,5.220584437017046,100.4932877571209,-0.04420806607948951,0.23477700261482223,1.3005976495618052,1.7122378218986625,0.03635518633054164,1.5520718198038337,3.3972004270001244,130.15342620372482,-0.0012744196375641859,0.645480768061664,1.388881828637521,42.497998700454616,0.0017151031218123158,0.061971996739208786,0.331635972088023,0.757163581836902,1.0459840856720147e-05,0.0034452417748325813,0.027221315107159104,0.00459361271428973,1.5269423982485404,0.5801207109694985,0.35026861352297445,1.0132619836829657,0.006800205635441414,1.0064617780475242,0.006053694805994897,0.0185467465821499,0.3338215519128108,70.9257626868145,0.30559895844070695,48035.210958756004,15013.85672329463,99992.67104311429,-52169.99698281957,152162.66802593385,-201964.789041244,0.6037857413116747,445.5327060245748,2.810121285355188,36891042.0163246,286255.2972615603
