original_snr,original_peak_value,original_energy,doppler_shift,processed_snr,snr_improvement,processed_energy,signal_idx,transient_length,steady_length,transient_ratio
12.622423656752737,0.375,17.098043231373076,28841.058480024,19.06546315079148,6.443039494038743,113.41388625618153,1,230,538,0.2994791666666667
13.57822491474421,0.79248047,79.47742110103476,29644.662374080224,25.146789227487126,11.568564312742916,115.4064635559733,2,230,538,0.2994791666666667
13.798765357074531,0.29833984,10.719268562254129,33714.85850467133,21.673495620854105,7.874730263779574,142.2439093915032,3,230,538,0.2994791666666667
14.142478571099652,0.52441406,34.93819272694803,40839.470363041626,16.597340049725222,2.4548614786255705,166.2300334104584,4,230,538,0.2994791666666667
16.29003298137594,0.6220703,52.291429378807464,31425.736056547095,18.719728802018565,2.4296958206426247,166.8012982009921,5,230,538,0.2994791666666667
14.472181092271406,0.52441406,34.26174570758006,34370.9954519343,20.437930299650414,5.965749207379009,191.69255862610163,6,230,538,0.2994791666666667
14.730939687046645,0.38330078,20.213630445251788,29707.38342357927,18.785408189675966,4.054468502629321,140.543711207363,7,230,538,0.2994791666666667
12.338209952969741,0.32080078,10.465710404884891,35731.48954494116,17.337042167019074,4.998832214049333,184.94884174741918,8,230,538,0.2994791666666667
12.584131339749167,0.20117188,3.5179543486411635,42813.37629375953,19.78074542043891,7.196614080689745,113.43480055458231,9,230,538,0.2994791666666667
15.23463244022582,0.63134766,46.05963434345283,28597.807892014094,18.781735559766407,3.547103119540587,130.31251640949975,10,230,538,0.2994791666666667
12.501176192942546,0.41210938,18.336893828813018,41573.06529280318,26.42385382467955,13.922677631737004,135.91900737878026,11,230,538,0.2994791666666667
11.916015342431244,0.74316406,56.51122130254606,53811.755652329295,9.399519202081848,-2.516496140349396,138.1817739084989,12,230,538,0.2994791666666667
13.865690329841522,0.45703125,19.86933443823211,32977.441182438124,23.459650151303542,9.59395982146202,101.50782828479053,13,230,538,0.2994791666666667
13.525398536682069,0.8354492,126.915919283814,32597.42578102233,21.745962526563552,8.220563989881484,132.29328182900883,14,230,538,0.2994791666666667
13.635582135219948,0.60302734,54.11932247937436,30515.275416451015,24.96858453254997,11.33300239733002,112.82834747528545,15,230,538,0.2994791666666667
11.01304747796287,0.23291016,6.286185499145583,45405.389703994995,16.591139049548026,5.578091571585157,150.0608331997224,16,230,538,0.2994791666666667
14.52422796418384,0.31396484,13.790536886117192,30256.247155733505,25.79480612427598,11.270578160092139,122.9315889508602,17,230,538,0.2994791666666667
14.189259209418491,0.5317383,34.879328097341,30288.88098386613,15.706556534367529,1.5172973249490376,77.61539877201801,18,230,538,0.2994791666666667
13.715311642008373,0.45996094,27.263728188968273,31763.341470664313,15.139950484992335,1.4246388429839616,131.75444118567464,19,230,538,0.2994791666666667
12.840211891382975,0.28955078,9.334327260484816,33379.452675886896,25.52382636255542,12.683614471172444,115.56440284399983,20,230,538,0.2994791666666667
14.069171153976047,0.5058594,30.10277248701732,35723.298554227906,15.546806280332358,1.4776351263563114,63.23459312583448,21,230,538,0.2994791666666667
13.445360642424944,0.34765625,14.322171392526837,30608.789909913972,15.720748874698401,2.275388232273457,123.0665106755234,22,230,538,0.2994791666666667
12.722103633277374,0.37890625,13.01235490771026,42329.98419083962,27.65256083469202,14.930457201414647,98.40762089960998,23,230,538,0.2994791666666667
14.227650073110711,0.47460938,26.019601826929495,41708.06223566559,15.593643700219395,1.3659936271086845,228.37884889765823,24,230,538,0.2994791666666667
13.858058766106796,0.30810547,12.84890056187669,35285.14127291779,23.07096718436202,9.212908418255223,100.92434964203738,25,230,538,0.2994791666666667
14.037380259381615,0.31298828,10.806669261379692,33604.0282036683,15.615873101318806,1.5784928419371909,114.90559658556737,26,230,538,0.2994791666666667
10.437312305770954,0.9873047,161.40970928689583,50963.98839879252,10.584287949663569,0.14697564389261508,120.27040268339923,27,230,538,0.2994791666666667
15.03118056078742,0.5395508,42.353335709170196,27859.764149476363,21.631552419202094,6.600371858414675,92.17580978363097,28,230,538,0.2994791666666667
12.56906505273604,0.31201172,10.615178829328348,37441.06834371113,17.95233689650573,5.383271843769691,211.59476230792325,29,230,538,0.2994791666666667
13.006662190647123,0.29589844,11.525458785353763,44630.58356315789,15.095683753341959,2.0890215626948354,195.23039633303196,30,230,538,0.2994791666666667
12.22407060860844,0.28173828,7.299576045348416,37478.64897497701,23.359239493848456,11.135168885240017,120.48896607203918,31,230,538,0.2994791666666667
10.730070760385924,0.20947266,3.4393105603452643,44144.91914385922,22.218685965041367,11.488615204655442,120.13157194767996,32,230,538,0.2994791666666667
12.267357497937198,0.86376953,143.739269268802,35929.59905354892,15.511533047236819,3.244175549299621,156.01231983695976,33,230,538,0.2994791666666667
13.287976781561873,0.21142578,5.1978466321938255,35942.02408870523,23.859682323501055,10.571705541939181,139.1691296871797,34,230,538,0.2994791666666667
10.798689658909934,0.13574219,1.791000849628858,47458.52075218378,18.362272323945255,7.563582665035321,146.79265122869901,35,230,538,0.2994791666666667
13.708162556582785,0.63720703,47.070887184148205,37414.64047633965,19.301606667941925,5.59344411135914,110.60531333805957,36,230,538,0.2994791666666667
18.66704676544743,0.65722656,64.35060636858152,34214.22193491152,20.284332957094815,1.6172861916473842,116.45281747421639,37,230,538,0.2994791666666667
12.623565183742942,0.45117188,24.103217855155307,31179.532789609646,34.429378954011234,21.805813770268294,158.40058447707366,38,230,538,0.2994791666666667
12.300477644444076,0.8017578,97.54720067241064,51564.95049716924,11.775131478189639,-0.5253461662544368,107.47173144711596,39,102,666,0.1328125
